104/12/01,9.13,5.0,1.42
104/12/02,9.1,5.02,1.41
104/12/03,8.99,5.08,1.4
104/12/04,8.94,5.11,1.39
104/12/07,8.99,5.08,1.4
104/12/08,8.91,5.13,1.38
104/12/09,8.84,5.16,1.37
104/12/10,8.8,5.19,1.37
104/12/11,8.82,5.17,1.37
104/12/14,8.58,5.32,1.33
104/12/15,8.49,5.38,1.32
104/12/16,8.51,5.36,1.32
104/12/17,8.75,5.22,1.36
104/12/18,8.62,5.3,1.34
104/12/21,8.64,5.28,1.34
104/12/22,8.57,5.33,1.33
104/12/23,8.63,5.29,1.34
104/12/24,8.66,5.27,1.34
104/12/25,8.66,5.27,1.34
104/12/28,8.6,5.31,1.33
104/12/29,8.57,5.33,1.33
104/12/30,8.59,5.32,1.33
104/12/31,8.58,5.32,1.33
