編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPRNMLMLLHMFFBA57DB,福星段一小段,.47,都市：商
RPRNMLMLLHMFFBA57DB,福星段一小段,.67,都市：商
RPRNMLMLLHMFFBA57DB,福星段一小段,.54,都市：商
RPRNMLMLLHMFFBA57DB,福星段一小段,.78,都市：商
RPRNMLMLLHMFFBA57DB,福星段一小段,.61,都市：商
RPRNMLMLLHMFFBA57DB,福星段一小段,5.19,都市：商
RPSNMLMLLHMFFBA67DB,福星段一小段,.47,都市：商
RPSNMLMLLHMFFBA67DB,福星段一小段,.67,都市：商
RPSNMLMLLHMFFBA67DB,福星段一小段,.54,都市：商
RPSNMLMLLHMFFBA67DB,福星段一小段,.77,都市：商
RPSNMLMLLHMFFBA67DB,福星段一小段,.60,都市：商
RPSNMLMLLHMFFBA67DB,福星段一小段,5.17,都市：商
RPTNMLMLLHMFFBA77DB,福星段一小段,.47,都市：商
RPTNMLMLLHMFFBA77DB,福星段一小段,.67,都市：商
RPTNMLMLLHMFFBA77DB,福星段一小段,.54,都市：商
RPTNMLMLLHMFFBA77DB,福星段一小段,.77,都市：商
RPTNMLMLLHMFFBA77DB,福星段一小段,.60,都市：商
RPTNMLMLLHMFFBA77DB,福星段一小段,5.17,都市：商
RPOOMLMLLHMFFBA37DB,福星段一小段,.47,都市：商
RPOOMLMLLHMFFBA37DB,福星段一小段,.67,都市：商
RPOOMLMLLHMFFBA37DB,福星段一小段,.54,都市：商
RPOOMLMLLHMFFBA37DB,福星段一小段,.78,都市：商
RPOOMLMLLHMFFBA37DB,福星段一小段,.61,都市：商
RPOOMLMLLHMFFBA37DB,福星段一小段,5.19,都市：商
RPUOMLMLLHMFFBA97DB,福星段一小段,.40,都市：商
RPUOMLMLLHMFFBA97DB,福星段一小段,.58,都市：商
RPUOMLMLLHMFFBA97DB,福星段一小段,.46,都市：商
RPUOMLMLLHMFFBA97DB,福星段一小段,.66,都市：商
RPUOMLMLLHMFFBA97DB,福星段一小段,.52,都市：商
RPUOMLMLLHMFFBA97DB,福星段一小段,4.45,都市：商
RPOPMLMLLHMFFBA47DB,福星段一小段,.40,都市：商
RPOPMLMLLHMFFBA47DB,福星段一小段,.58,都市：商
RPOPMLMLLHMFFBA47DB,福星段一小段,.46,都市：商
RPOPMLMLLHMFFBA47DB,福星段一小段,.66,都市：商
RPOPMLMLLHMFFBA47DB,福星段一小段,.52,都市：商
RPOPMLMLLHMFFBA47DB,福星段一小段,4.45,都市：商
RPPPMLMLLHMFFBA57DB,福星段一小段,.40,都市：商
RPPPMLMLLHMFFBA57DB,福星段一小段,.58,都市：商
RPPPMLMLLHMFFBA57DB,福星段一小段,.46,都市：商
RPPPMLMLLHMFFBA57DB,福星段一小段,.66,都市：商
RPPPMLMLLHMFFBA57DB,福星段一小段,.52,都市：商
RPPPMLMLLHMFFBA57DB,福星段一小段,4.45,都市：商
RPQPMLMLLHMFFBA67DB,福星段一小段,.52,都市：商
RPQPMLMLLHMFFBA67DB,福星段一小段,.75,都市：商
RPQPMLMLLHMFFBA67DB,福星段一小段,.60,都市：商
RPQPMLMLLHMFFBA67DB,福星段一小段,.86,都市：商
RPQPMLMLLHMFFBA67DB,福星段一小段,.67,都市：商
RPQPMLMLLHMFFBA67DB,福星段一小段,5.78,都市：商
RPRPMLMLLHMFFBA77DB,福星段一小段,.52,都市：商
RPRPMLMLLHMFFBA77DB,福星段一小段,.75,都市：商
RPRPMLMLLHMFFBA77DB,福星段一小段,.60,都市：商
RPRPMLMLLHMFFBA77DB,福星段一小段,.86,都市：商
RPRPMLMLLHMFFBA77DB,福星段一小段,.67,都市：商
RPRPMLMLLHMFFBA77DB,福星段一小段,5.78,都市：商
RPTPMLMLLHMFFBA97DB,福星段一小段,.46,都市：商
RPTPMLMLLHMFFBA97DB,福星段一小段,.65,都市：商
RPTPMLMLLHMFFBA97DB,福星段一小段,.52,都市：商
RPTPMLMLLHMFFBA97DB,福星段一小段,.75,都市：商
RPTPMLMLLHMFFBA97DB,福星段一小段,.59,都市：商
RPTPMLMLLHMFFBA97DB,福星段一小段,5.02,都市：商
